# Report

name | result
th06::Chain::Release | 100.00%
[th06::Chain::Cut](#user-content-th06____chain____cut) | 99.77%
[th06::Chain::RunDrawChain](#user-content-th06____chain____rundrawchain) | 91.43%
[th06::Chain::RunCalcChain](#user-content-th06____chain____runcalcchain) | 94.00%
[th06::Chain::AddToCalcChain](#user-content-th06____chain____addtocalcchain) | 99.90%
[th06::Chain::AddToDrawChain](#user-content-th06____chain____addtodrawchain) | 99.90%
[th06::CMyFont::Init](#user-content-th06____cmyfont____init) | 98.13%
th06::CMyFont::Print | 100.00%
th06::CMyFont::Clean | 100.00%
[th06::GameWindow::InitD3dInterface](#user-content-th06____gamewindow____initd3dinterface) | 95.10%
[th06::Controller::GetJoystickCaps](#user-content-th06____controller____getjoystickcaps) | 95.24%
th06::Controller::SetButtonFromControllerInputs | 100.00%
th06::Controller::SetButtonFromDirectInputJoystate | 100.00%
[th06::Controller::GetControllerInput](#user-content-th06____controller____getcontrollerinput) | 93.42%
[th06::Controller::GetInput](#user-content-th06____controller____getinput) | 99.89%
[th06::Controller::ResetKeyboard](#user-content-th06____controller____resetkeyboard) | 99.70%
[th06::Supervisor::ControllerCallback](#user-content-th06____supervisor____controllercallback) | 99.26%
[th06::Supervisor::EnumGameControllersCb](#user-content-th06____supervisor____enumgamecontrollerscb) | 85.44%
th06::EclManager::CallEclSub | 100.00%
[th06::EclManager::Load](#user-content-th06____eclmanager____load) | 99.82%
[th06::EclManager::RunEcl](#user-content-th06____eclmanager____runecl) | 97.25%
th06::EclManager::Unload | 100.00%
[th06::Ending::Ending](#user-content-th06____ending____ending) | 53.96%
[th06::Ending::RegisterChain](#user-content-th06____ending____registerchain) | 96.98%
[th06::Ending::AddedCallback](#user-content-th06____ending____addedcallback) | 83.78%
[th06::Ending::DeletedCallback](#user-content-th06____ending____deletedcallback) | 93.79%
[th06::Ending::OnDraw](#user-content-th06____ending____ondraw) | 99.44%
[th06::Ending::OnUpdate](#user-content-th06____ending____onupdate) | 99.49%
[th06::Ending::FadingEffect](#user-content-th06____ending____fadingeffect) | 97.84%
[th06::Ending::LoadEnding](#user-content-th06____ending____loadending) | 99.71%
[th06::Ending::ReadEndFileParameter](#user-content-th06____ending____readendfileparameter) | 99.29%
[th06::Ending::ParseEndFile](#user-content-th06____ending____parseendfile) | 94.49%
[th06::EffectManager::EffectManager](#user-content-th06____effectmanager____effectmanager) | 61.73%
th06::EffectManager::Reset | 100.00%
[th06::EffectManager::AddedCallback](#user-content-th06____effectmanager____addedcallback) | 24.71%
[th06::EffectManager::DeletedCallback](#user-content-th06____effectmanager____deletedcallback) | 98.05%
[th06::EffectManager::RegisterChain](#user-content-th06____effectmanager____registerchain) | 72.26%
[th06::EffectManager::CutChain](#user-content-th06____effectmanager____cutchain) | 92.93%
[th06::EffectManager::OnUpdate](#user-content-th06____effectmanager____onupdate) | 99.65%
[th06::EffectManager::OnDraw](#user-content-th06____effectmanager____ondraw) | 99.70%
[th06::EffectManager::SpawnParticles](#user-content-th06____effectmanager____spawnparticles) | 99.86%
[th06::EffectManager::EffectCallbackRandomSplash](#user-content-th06____effectmanager____effectcallbackrandomsplash) | 99.57%
[th06::EffectManager::EffectCallbackRandomSplashBig](#user-content-th06____effectmanager____effectcallbackrandomsplashbig) | 99.54%
[th06::EffectManager::EffectCallbackStill](#user-content-th06____effectmanager____effectcallbackstill) | 99.78%
[th06::EffectManager::EffectUpdateCallback4](#user-content-th06____effectmanager____effectupdatecallback4) | 96.67%
[th06::EffectManager::EffectCallbackAttract](#user-content-th06____effectmanager____effectcallbackattract) | 98.51%
[th06::EffectManager::EffectCallbackAttractSlow](#user-content-th06____effectmanager____effectcallbackattractslow) | 98.60%
th06::EnemyManager::Initialize | 100.00%
[th06::EnemyManager::EnemyManager](#user-content-th06____enemymanager____enemymanager) | 48.79%
[th06::EnemyManager::RegisterChain](#user-content-th06____enemymanager____registerchain) | 79.70%
[th06::EnemyManager::CutChain](#user-content-th06____enemymanager____cutchain) | 91.85%
[th06::EnemyManager::AddedCallback](#user-content-th06____enemymanager____addedcallback) | 99.27%
[th06::EnemyManager::DeletedCallback](#user-content-th06____enemymanager____deletedcallback) | 63.83%
[th06::EnemyManager::OnUpdate](#user-content-th06____enemymanager____onupdate) | 98.92%
[th06::EnemyManager::OnDraw](#user-content-th06____enemymanager____ondraw) | 99.86%
[th06::EnemyManager::RunEclTimeline](#user-content-th06____enemymanager____runecltimeline) | 97.64%
[th06::EnemyManager::SpawnEnemy](#user-content-th06____enemymanager____spawnenemy) | 99.83%
[th06::EnemyEclInstr::GetVar](#user-content-th06____enemyeclinstr____getvar) | 91.29%
th06::EnemyEclInstr::GetVarFloat | 100.00%
th06::EnemyEclInstr::SetVar | 100.00%
th06::EnemyEclInstr::MathAdd | 100.00%
th06::EnemyEclInstr::MathSub | 100.00%
th06::EnemyEclInstr::MathMul | 100.00%
th06::EnemyEclInstr::MathDiv | 100.00%
[th06::EnemyEclInstr::MathMod](#user-content-th06____enemyeclinstr____mathmod) | 99.58%
th06::EnemyEclInstr::MathAtan2 | 100.00%
[th06::EnemyEclInstr::MoveTime](#user-content-th06____enemyeclinstr____movetime) | 99.38%
[th06::EnemyEclInstr::MoveDirTime](#user-content-th06____enemyeclinstr____movedirtime) | 99.37%
th06::EnemyEclInstr::MovePosTime | 100.00%
[th06::EnemyEclInstr::ExInsCirnoRainbowBallJank](#user-content-th06____enemyeclinstr____exinscirnorainbowballjank) | 99.46%
[th06::EnemyEclInstr::ExInsShootAtRandomArea](#user-content-th06____enemyeclinstr____exinsshootatrandomarea) | 99.39%
