# Report

name | result
-    fld dword ptr [0x69d6e4]
-    call __ftol2
-    mov dword ptr [0x6c6de8], eax
-    fld dword ptr [0x69d6e8]
-    call __ftol2
-    mov dword ptr [0x6c6dec], eax
-    push 0x6c6de0
-    mov ecx, dword ptr [0x6c6d20]
+    fld dword ptr [0x69d5ec]
+    call _ftol2
+    mov dword ptr [0x6c6b38], eax
+    fld dword ptr [0x69d5f0]
+    call _ftol2
+    mov dword ptr [0x6c6b3c], eax
+    fld dword ptr [0x69d5f4]
+    call _ftol2
+    mov dword ptr [0x6c6b40], eax
+    fld dword ptr [0x69d5f8]
+    call _ftol2
+    mov dword ptr [0x6c6b44], eax
+    push 0x6c6b38
+    mov ecx, dword ptr [0x6c6a78]
     mov edx, dword ptr [ecx]
-    mov eax, dword ptr [0x6c6d20]
+    mov eax, dword ptr [0x6c6a78]
     push eax
     call dword ptr [edx + 0xa0]
     mov dword ptr [ebp - 0xc], 0
     jmp L_1
 L_4:
     mov ecx, dword ptr [ebp - 0xc]
     add ecx, 1
     mov dword ptr [ebp - 0xc], ecx
     mov edx, dword ptr [ebp - 4]
     add edx, 0x28
     mov dword ptr [ebp - 4], edx
 L_1:
     cmp dword ptr [ebp - 0xc], 0x203
     jge L_2
     mov eax, dword ptr [ebp - 4]
     xor ecx, ecx
     mov cl, byte ptr [eax + 0x24]
     test ecx, ecx
     jne L_3
     jmp L_4
@@ -67,67 +67,67 @@
     mov cl, byte ptr [eax + 0x25]
     mov edx, dword ptr [ebp - 4]
     lea eax, [edx + ecx - 1]
     mov dword ptr [ebp - 0x10], eax
     mov ecx, dword ptr [ebp - 4]
     xor edx, edx
     mov dl, byte ptr [ecx + 0x25]
     mov dword ptr [ebp - 8], edx
     jmp L_5
 L_9:
     mov eax, dword ptr [ebp - 8]
     sub eax, 1
     mov dword ptr [ebp - 8], eax
 L_5:
     cmp dword ptr [ebp - 8], 0
     jle L_6
     mov ecx, dword ptr [ebp - 0x10]
     xor edx, edx
     mov dl, byte ptr [ecx]
     imul edx, edx, 0x38
-    mov eax, dword ptr [0x6d4588]
+    mov eax, dword ptr [0x6d43c0]
     add eax, edx
     mov ecx, dword ptr [ebp - 0x20]
     mov dword ptr [ecx + 0x1d0], eax
     mov edx, dword ptr [ebp - 0x10]
     xor eax, eax
     mov al, byte ptr [edx]
     cmp eax, 0xa
     jl L_7
     mov ecx, dword ptr [ebp - 0x20]
     mov dword ptr [ecx + 0x14c], 0x3e400000
     mov edx, dword ptr [ebp - 0x20]
     mov dword ptr [edx + 0x160], 0x3d000000
     mov eax, dword ptr [ebp - 0x20]
     add eax, 0x110
     push eax
-    mov ecx, dword ptr [0x6d4588]
+    mov ecx, dword ptr [0x6d43c0]
     call th06::AnmManager::DrawNoRotation
     mov ecx, dword ptr [ebp - 0x20]
     mov dword ptr [ecx + 0x14c], 0x3d000000
     mov edx, dword ptr [ebp - 0x20]
     mov dword ptr [edx + 0x160], 0x3d000000
     jmp L_8
 L_7:
     mov eax, dword ptr [ebp - 0x20]
     add eax, 0x110
     push eax
-    mov ecx, dword ptr [0x6d4588]
+    mov ecx, dword ptr [0x6d43c0]
     call th06::AnmManager::Draw2
 L_8:
     mov ecx, dword ptr [ebp - 0x20]
     fld dword ptr [ecx + 0x1a0]
-    fadd dword ptr [0x46a2bc]
+    fadd dword ptr [0x46a2dc]
     mov edx, dword ptr [ebp - 0x20]
     fstp dword ptr [edx + 0x1a0]
     mov eax, dword ptr [ebp - 0x10]
     sub eax, 1
     mov dword ptr [ebp - 0x10], eax
     jmp L_9
 L_6:
     jmp L_4
 L_2:
     mov esp, ebp
     pop ebp
     ret 
 
 
```

</details>


<details id="th06____zuntimer____increment"><summary><h2>th06::ZunTimer::Increment</h2></summary>

```diff
--- Original
+++ Reimplementation
@@ -1,61 +1,61 @@
     push ebp
     mov ebp, esp
     push ecx
     push ecx
     mov dword ptr [ebp - 4], ecx
-    fld dword ptr [0x6c6ec4]
-    fcomp dword ptr [0x46b734]
+    fld dword ptr [0x6c6c1c]
+    fcomp dword ptr [0x46b760]
     fnstsw ax
     test ah, 0x41
     jne L_1
     mov eax, dword ptr [ebp - 4]
     mov eax, dword ptr [eax + 8]
     add eax, dword ptr [ebp + 8]
     mov ecx, dword ptr [ebp - 4]
     mov dword ptr [ecx + 8], eax
     jmp L_2
 L_1:
     cmp dword ptr [ebp + 8], 0
     jge L_3
     mov eax, dword ptr [ebp + 8]
     neg eax
     push eax
     mov ecx, dword ptr [ebp - 4]
     call th06::ZunTimer::Decrement
     jmp L_2
 L_3:
     mov eax, dword ptr [ebp - 4]
     mov ecx, dword ptr [ebp - 4]
     mov ecx, dword ptr [ecx + 8]
     mov dword ptr [eax], ecx
     fild dword ptr [ebp + 8]
     fstp dword ptr [ebp - 8]
-    fld dword ptr [0x6c6ec0]
+    fld dword ptr [0x6c6c18]
     fmul dword ptr [ebp - 8]
     mov eax, dword ptr [ebp - 4]
     fadd dword ptr [eax + 4]
     mov eax, dword ptr [ebp - 4]
     fstp dword ptr [eax + 4]
 L_4:
     mov eax, dword ptr [ebp - 4]
     fld dword ptr [eax + 4]
-    fcomp dword ptr [0x46a2c0]
+    fcomp dword ptr [0x46a3c8]
     fnstsw ax
     test ah, 1
     jne L_2
     mov eax, dword ptr [ebp - 4]
     mov eax, dword ptr [eax + 8]
     inc eax
     mov ecx, dword ptr [ebp - 4]
     mov dword ptr [ecx + 8], eax
     mov eax, dword ptr [ebp - 4]
     fld dword ptr [eax + 4]
-    fsub dword ptr [0x46a2c0]
+    fsub dword ptr [0x46a3c8]
     mov eax, dword ptr [ebp - 4]
     fstp dword ptr [eax + 4]
     jmp L_4
 L_2:
     leave 
     ret 4
 
 
```

</details>


<details id="th06____zuntimer____decrement"><summary><h2>th06::ZunTimer::Decrement</h2></summary>

```diff
--- Original
+++ Reimplementation
@@ -1,61 +1,61 @@
     push ebp
     mov ebp, esp
     push ecx
     push ecx
     mov dword ptr [ebp - 4], ecx
-    fld dword ptr [0x6c6ec4]
-    fcomp dword ptr [0x46b734]
+    fld dword ptr [0x6c6c1c]
+    fcomp dword ptr [0x46b760]
     fnstsw ax
     test ah, 0x41
     jne L_1
     mov eax, dword ptr [ebp - 4]
     mov eax, dword ptr [eax + 8]
     sub eax, dword ptr [ebp + 8]
     mov ecx, dword ptr [ebp - 4]
     mov dword ptr [ecx + 8], eax
     jmp L_2
 L_1:
     cmp dword ptr [ebp + 8], 0
     jge L_3
     mov eax, dword ptr [ebp + 8]
     neg eax
     push eax
     mov ecx, dword ptr [ebp - 4]
     call th06::ZunTimer::Increment
     jmp L_2
 L_3:
     mov eax, dword ptr [ebp - 4]
     mov ecx, dword ptr [ebp - 4]
     mov ecx, dword ptr [ecx + 8]
     mov dword ptr [eax], ecx
     fild dword ptr [ebp + 8]
     fstp dword ptr [ebp - 8]
-    fld dword ptr [0x6c6ec0]
+    fld dword ptr [0x6c6c18]
     fmul dword ptr [ebp - 8]
     mov eax, dword ptr [ebp - 4]
     fsubr dword ptr [eax + 4]
     mov eax, dword ptr [ebp - 4]
     fstp dword ptr [eax + 4]
 L_4:
     mov eax, dword ptr [ebp - 4]
     fld dword ptr [eax + 4]
-    fcomp dword ptr [0x474884]
+    fcomp dword ptr [0x46a404]
     fnstsw ax
     test ah, 5
     jp L_2
     mov eax, dword ptr [ebp - 4]
     mov eax, dword ptr [eax + 8]
     dec eax
     mov ecx, dword ptr [ebp - 4]
     mov dword ptr [ecx + 8], eax
     mov eax, dword ptr [ebp - 4]
     fld dword ptr [eax + 4]
-    fadd dword ptr [0x46a2c0]
+    fadd dword ptr [0x46a3c8]
     mov eax, dword ptr [ebp - 4]
     fstp dword ptr [eax + 4]
     jmp L_4
 L_2:
     leave 
     ret 4
 
 
```

</details>


<details id="th06____zuntimer____nexttick"><summary><h2>th06::ZunTimer::NextTick</h2></summary>

```diff
--- Original
+++ Reimplementation
@@ -1,22 +1,12 @@
     push ebp
     mov ebp, esp
     push ecx
     mov dword ptr [ebp - 4], ecx
-    mov eax, dword ptr [ebp - 4]
     mov ecx, dword ptr [ebp - 4]
-    mov ecx, dword ptr [ecx + 8]
-    mov dword ptr [eax], ecx
-    mov eax, dword ptr [ebp - 4]
-    add eax, 4
-    push eax
-    mov eax, dword ptr [ebp - 4]
-    add eax, 8
-    push eax
-    mov ecx, 0x6c6d18
-    call th06::Supervisor::TickTimer
+    call th06::ZunTimer::Tick
     mov eax, dword ptr [ebp - 4]
     mov eax, dword ptr [eax + 8]
     leave 
     ret 
 
 
```

</details>


<details id="th06____anmvm____anmvm"><summary><h2>th06::AnmVm::AnmVm</h2></summary>

```diff
--- Original
+++ Reimplementation
@@ -1,32 +1,12 @@
     push ebp
     mov ebp, esp
-    sub esp, 0x14
-    mov dword ptr [ebp - 0x14], ecx
-    mov eax, dword ptr [ebp - 0x14]
-    add eax, 0x30
-    mov dword ptr [ebp - 4], eax
-    mov ecx, dword ptr [ebp - 4]
-    call th06::ZunTimer::Initialize
-    mov ecx, dword ptr [ebp - 0x14]
-    add ecx, 0xa4
-    mov dword ptr [ebp - 8], ecx
-    mov ecx, dword ptr [ebp - 8]
-    call th06::ZunTimer::Initialize
-    mov edx, dword ptr [ebp - 0x14]
-    add edx, 0xf0
-    mov dword ptr [ebp - 0xc], edx
-    mov ecx, dword ptr [ebp - 0xc]
-    call th06::ZunTimer::Initialize
-    mov eax, dword ptr [ebp - 0x14]
-    add eax, 0x100
-    mov dword ptr [ebp - 0x10], eax
-    mov ecx, dword ptr [ebp - 0x10]
-    call th06::ZunTimer::Initialize
-    mov ecx, dword ptr [ebp - 0x14]
-    mov word ptr [ecx + 0xb0], 0xffff
-    mov eax, dword ptr [ebp - 0x14]
+    push ecx
+    mov dword ptr [ebp - 4], ecx
+    mov eax, dword ptr [ebp - 4]
+    mov word ptr [eax + 0xb0], 0xffff
+    mov eax, dword ptr [ebp - 4]
     mov esp, ebp
     pop ebp
     ret 
 
 
```

</details>


<details id="th06____anmmanager____anmmanager"><summary><h2>th06::AnmManager::AnmManager</h2></summary>

```diff
--- Original
+++ Reimplementation
@@ -1,98 +1,98 @@
     push ebp
     mov ebp, esp
-    sub esp, 0x24
+    sub esp, 0x14
     push edi
-    mov dword ptr [ebp - 0x24], ecx
-    mov ecx, dword ptr [ebp - 0x24]
+    mov dword ptr [ebp - 0x14], ecx
+    mov ecx, dword ptr [ebp - 0x14]
     add ecx, 0x1c000
     call th06::AnmVm::AnmVm
-    mov dword ptr [ebp - 0x18], 4
-    mov dword ptr [ebp - 0x1c], 0x14
-    mov eax, dword ptr [ebp - 0x24]
+    mov dword ptr [ebp - 8], 4
+    mov dword ptr [ebp - 0xc], 0x14
+    mov eax, dword ptr [ebp - 0x14]
     add eax, 0x210c8
-    mov dword ptr [ebp - 0x20], eax
+    mov dword ptr [ebp - 0x10], eax
 L_2:
-    mov ecx, dword ptr [ebp - 0x18]
+    mov ecx, dword ptr [ebp - 8]
     sub ecx, 1
-    mov dword ptr [ebp - 0x18], ecx
-    cmp dword ptr [ebp - 0x18], 0
+    mov dword ptr [ebp - 8], ecx
+    cmp dword ptr [ebp - 8], 0
     jl L_1
-    mov edx, dword ptr [ebp - 0x20]
-    add edx, dword ptr [ebp - 0x1c]
-    mov dword ptr [ebp - 0x20], edx
+    mov edx, dword ptr [ebp - 0x10]
+    add edx, dword ptr [ebp - 0xc]
+    mov dword ptr [ebp - 0x10], edx
     jmp L_2
 L_1:
-    mov eax, dword ptr [ebp - 0x24]
+    mov eax, dword ptr [ebp - 0x14]
     mov dword ptr [eax + 0x1c930], 0
     mov ecx, 0x844b
     xor eax, eax
-    mov edi, dword ptr [ebp - 0x24]
+    mov edi, dword ptr [ebp - 0x14]
     rep stosd dword ptr es:[edi], eax
     mov dword ptr [ebp - 4], 0
     jmp L_3
 L_5:
     mov ecx, dword ptr [ebp - 4]
     add ecx, 1
     mov dword ptr [ebp - 4], ecx
 L_3:
     cmp dword ptr [ebp - 4], 0x800
     jge L_4
     mov edx, dword ptr [ebp - 4]
     imul edx, edx, 0x38
-    mov eax, dword ptr [ebp - 0x24]
+    mov eax, dword ptr [ebp - 0x14]
     mov dword ptr [eax + edx], 0xffffffff
     jmp L_5
 L_4:
-    mov dword ptr [0x6d4654], 0x3f800000
-    mov ecx, dword ptr [0x6d4654]
-    mov dword ptr [0x6d463c], ecx
-    mov edx, dword ptr [0x6d463c]
-    mov dword ptr [0x6d4624], edx
-    mov eax, dword ptr [0x6d4624]
-    mov dword ptr [0x6d460c], eax
-    mov dword ptr [0x6d4610], 0
-    mov dword ptr [0x6d4614], 0
-    mov dword ptr [0x6d4628], 0x3f800000
-    mov dword ptr [0x6d462c], 0
-    mov dword ptr [0x6d4640], 0
-    mov dword ptr [0x6d4644], 0x3f800000
-    mov dword ptr [0x6d4658], 0x3f800000
-    mov dword ptr [0x6d465c], 0x3f800000
-    mov dword ptr [0x6d45f0], 0x3f800000
-    mov ecx, dword ptr [0x6d45f0]
-    mov dword ptr [0x6d45d4], ecx
-    mov edx, dword ptr [0x6d45d4]
-    mov dword ptr [0x6d45b8], edx
-    mov eax, dword ptr [0x6d45b8]
-    mov dword ptr [0x6d459c], eax
-    mov dword ptr [0x6d45a4], 0
-    mov dword ptr [0x6d45a8], 0
-    mov dword ptr [0x6d45c0], 0x3f800000
-    mov dword ptr [0x6d45c4], 0
-    mov dword ptr [0x6d45dc], 0
-    mov dword ptr [0x6d45e0], 0x3f800000
-    mov dword ptr [0x6d45f8], 0x3f800000
-    mov dword ptr [0x6d45fc], 0x3f800000
-    mov ecx, dword ptr [ebp - 0x24]
+    mov dword ptr [0x6d441c], 0x3f800000
+    mov ecx, dword ptr [0x6d441c]
+    mov dword ptr [0x6d4404], ecx
+    mov edx, dword ptr [0x6d4404]
+    mov dword ptr [0x6d43ec], edx
+    mov eax, dword ptr [0x6d43ec]
+    mov dword ptr [0x6d43d4], eax
+    mov dword ptr [0x6d43d8], 0
+    mov dword ptr [0x6d43dc], 0
+    mov dword ptr [0x6d43f0], 0x3f800000
+    mov dword ptr [0x6d43f4], 0
+    mov dword ptr [0x6d4408], 0
+    mov dword ptr [0x6d440c], 0x3f800000
+    mov dword ptr [0x6d4420], 0x3f800000
+    mov dword ptr [0x6d4424], 0x3f800000
+    mov dword ptr [0x6d44e8], 0x3f800000
+    mov ecx, dword ptr [0x6d44e8]
+    mov dword ptr [0x6d44cc], ecx
+    mov edx, dword ptr [0x6d44cc]
+    mov dword ptr [0x6d44b0], edx
+    mov eax, dword ptr [0x6d44b0]
+    mov dword ptr [0x6d4494], eax
+    mov dword ptr [0x6d449c], 0
+    mov dword ptr [0x6d44a0], 0
+    mov dword ptr [0x6d44b8], 0x3f800000
+    mov dword ptr [0x6d44bc], 0
+    mov dword ptr [0x6d44d4], 0
+    mov dword ptr [0x6d44d8], 0x3f800000
+    mov dword ptr [0x6d44f0], 0x3f800000
+    mov dword ptr [0x6d44f4], 0x3f800000
+    mov ecx, dword ptr [ebp - 0x14]
     mov dword ptr [ecx + 0x210c4], 0
-    mov edx, dword ptr [ebp - 0x24]
+    mov edx, dword ptr [ebp - 0x14]
     mov dword ptr [edx + 0x210b8], 0
-    mov eax, dword ptr [ebp - 0x24]
+    mov eax, dword ptr [ebp - 0x14]
     mov byte ptr [eax + 0x210bc], 0
-    mov ecx, dword ptr [ebp - 0x24]
+    mov ecx, dword ptr [ebp - 0x14]
     mov byte ptr [ecx + 0x210bd], 0
-    mov edx, dword ptr [ebp - 0x24]
+    mov edx, dword ptr [ebp - 0x14]
     mov dword ptr [edx + 0x210b4], 1
-    mov eax, dword ptr [ebp - 0x24]
+    mov eax, dword ptr [ebp - 0x14]
     mov byte ptr [eax + 0x210be], 0
-    mov ecx, dword ptr [ebp - 0x24]
+    mov ecx, dword ptr [ebp - 0x14]
     mov byte ptr [ecx + 0x210bf], 0
-    mov edx, dword ptr [ebp - 0x24]
+    mov edx, dword ptr [ebp - 0x14]
     mov dword ptr [edx + 0x21118], 0xffffffff
-    mov eax, dword ptr [ebp - 0x24]
+    mov eax, dword ptr [ebp - 0x14]
     pop edi
     mov esp, ebp
     pop ebp
     ret 
 
 
```

</details>


<details id="th06____anmmanager____copysurfacetobackbuffer"><summary><h2>th06::AnmManager::CopySurfaceToBackBuffer</h2></summary>

```diff
--- Original
+++ Reimplementation
@@ -1,151 +1,151 @@
     push ebp
     mov ebp, esp
     sub esp, 0x20
     mov dword ptr [ebp - 0x20], ecx
     mov eax, dword ptr [ebp + 8]
     mov ecx, dword ptr [ebp - 0x20]
     cmp dword ptr [ecx + eax*4 + 0x20db4], 0
     jne L_1
     jmp L_2
 L_1:
     lea edx, [ebp - 0x1c]
     push edx
     push 0
     push 0
-    mov eax, dword ptr [0x6c6d20]
+    mov eax, dword ptr [0x6c6a78]
     mov ecx, dword ptr [eax]
-    mov edx, dword ptr [0x6c6d20]
+    mov edx, dword ptr [0x6c6a78]
     push edx
     call dword ptr [ecx + 0x40]
     test eax, eax
     je L_3
     jmp L_2
 L_3:
     mov eax, dword ptr [ebp + 8]
     mov ecx, dword ptr [ebp - 0x20]
     cmp dword ptr [ecx + eax*4 + 0x20d34], 0
     jne L_4
     mov edx, dword ptr [ebp + 8]
     mov eax, dword ptr [ebp - 0x20]
     lea ecx, [eax + edx*4 + 0x20d34]
     push ecx
     push 1
     push 0
-    mov edx, dword ptr [0x6c6e00]
+    mov edx, dword ptr [0x6c6b58]
     push edx
     mov eax, dword ptr [ebp + 8]
     imul eax, eax, 0x14
     mov ecx, dword ptr [ebp - 0x20]
     mov edx, dword ptr [ecx + eax + 0x20e38]
     push edx
     mov eax, dword ptr [ebp + 8]
     imul eax, eax, 0x14
     mov ecx, dword ptr [ebp - 0x20]
     mov edx, dword ptr [ecx + eax + 0x20e34]
     push edx
-    mov eax, dword ptr [0x6c6d20]
+    mov eax, dword ptr [0x6c6a78]
     mov ecx, dword ptr [eax]
-    mov edx, dword ptr [0x6c6d20]
+    mov edx, dword ptr [0x6c6a78]
     push edx
     call dword ptr [ecx + 0x64]
     test eax, eax
     je L_5
     mov eax, dword ptr [ebp + 8]
     mov ecx, dword ptr [ebp - 0x20]
     lea edx, [ecx + eax*4 + 0x20d34]
     push edx
-    mov eax, dword ptr [0x6c6e00]
+    mov eax, dword ptr [0x6c6b58]
     push eax
     mov ecx, dword ptr [ebp + 8]
     imul ecx, ecx, 0x14
     mov edx, dword ptr [ebp - 0x20]
     mov eax, dword ptr [edx + ecx + 0x20e38]
     push eax
     mov ecx, dword ptr [ebp + 8]
     imul ecx, ecx, 0x14
     mov edx, dword ptr [ebp - 0x20]
     mov eax, dword ptr [edx + ecx + 0x20e34]
     push eax
-    mov ecx, dword ptr [0x6c6d20]
+    mov ecx, dword ptr [0x6c6a78]
     mov edx, dword ptr [ecx]
-    mov eax, dword ptr [0x6c6d20]
+    mov eax, dword ptr [0x6c6a78]
     push eax
     call dword ptr [edx + 0x6c]
     test eax, eax
     je L_5
     mov ecx, dword ptr [ebp - 0x1c]
     mov edx, dword ptr [ecx]
     mov eax, dword ptr [ebp - 0x1c]
     push eax
     call dword ptr [edx + 8]
     jmp L_2
 L_5:
     push 0
     push 1
     push 0
     push 0
     mov ecx, dword ptr [ebp + 8]
     mov edx, dword ptr [ebp - 0x20]
     mov eax, dword ptr [edx + ecx*4 + 0x20db4]
     push eax
     push 0
     push 0
     mov ecx, dword ptr [ebp + 8]
     mov edx, dword ptr [ebp - 0x20]
     mov eax, dword ptr [edx + ecx*4 + 0x20d34]
     push eax
-    call D3DXLoadSurfaceFromSurface
+    call 0x43e136
     test eax, eax
     je L_4
     mov ecx, dword ptr [ebp - 0x1c]
     mov edx, dword ptr [ecx]
     mov eax, dword ptr [ebp - 0x1c]
     push eax
     call dword ptr [edx + 8]
     jmp L_2
 L_4:
     mov ecx, dword ptr [ebp + 0xc]
     mov dword ptr [ebp - 0x18], ecx
     mov edx, dword ptr [ebp + 0x10]
     mov dword ptr [ebp - 0x14], edx
     mov eax, dword ptr [ebp + 8]
     imul eax, eax, 0x14
     mov ecx, dword ptr [ebp - 0x20]
     mov edx, dword ptr [ecx + eax + 0x20e34]
     mov dword ptr [ebp - 0x10], edx
     mov eax, dword ptr [ebp + 8]
     imul eax, eax, 0x14
     mov ecx, dword ptr [ebp - 0x20]
     mov edx, dword ptr [ecx + eax + 0x20e38]
     mov dword ptr [ebp - 0xc], edx
     mov eax, dword ptr [ebp + 0x14]
     mov dword ptr [ebp - 8], eax
     mov ecx, dword ptr [ebp + 0x18]
     mov dword ptr [ebp - 4], ecx
     lea edx, [ebp - 8]
     push edx
     mov eax, dword ptr [ebp - 0x1c]
     push eax
     push 1
     lea ecx, [ebp - 0x18]
     push ecx
     mov edx, dword ptr [ebp + 8]
     mov eax, dword ptr [ebp - 0x20]
     mov ecx, dword ptr [eax + edx*4 + 0x20d34]
     push ecx
-    mov edx, dword ptr [0x6c6d20]
+    mov edx, dword ptr [0x6c6a78]
     mov eax, dword ptr [edx]
-    mov ecx, dword ptr [0x6c6d20]
+    mov ecx, dword ptr [0x6c6a78]
     push ecx
     call dword ptr [eax + 0x70]
     mov edx, dword ptr [ebp - 0x1c]
     mov eax, dword ptr [edx]
     mov ecx, dword ptr [ebp - 0x1c]
     push ecx
     call dword ptr [eax + 8]
 L_2:
     mov esp, ebp
     pop ebp
     ret 0x14
 
 
```

</details>


<details id="th06____anmmanager____drawendingrect"><summary><h2>th06::AnmManager::DrawEndingRect</h2></summary>

```diff
--- Original
+++ Reimplementation
@@ -1,147 +1,147 @@
     push ebp
     mov ebp, esp
     sub esp, 0x20
     mov dword ptr [ebp - 0x20], ecx
     mov eax, dword ptr [ebp + 8]
     mov ecx, dword ptr [ebp - 0x20]
     cmp dword ptr [ecx + eax*4 + 0x20db4], 0
     jne L_1
     jmp L_2
 L_1:
     lea edx, [ebp - 0x1c]
     push edx
     push 0
     push 0
-    mov eax, dword ptr [0x6c6d20]
+    mov eax, dword ptr [0x6c6a78]
     mov ecx, dword ptr [eax]
-    mov edx, dword ptr [0x6c6d20]
+    mov edx, dword ptr [0x6c6a78]
     push edx
     call dword ptr [ecx + 0x40]
     test eax, eax
     je L_3
     jmp L_2
 L_3:
     mov eax, dword ptr [ebp + 8]
     mov ecx, dword ptr [ebp - 0x20]
     cmp dword ptr [ecx + eax*4 + 0x20d34], 0
     jne L_4
     mov edx, dword ptr [ebp + 8]
     mov eax, dword ptr [ebp - 0x20]
     lea ecx, [eax + edx*4 + 0x20d34]
     push ecx
     push 1
     push 0
-    mov edx, dword ptr [0x6c6e00]
+    mov edx, dword ptr [0x6c6b58]
     push edx
     mov eax, dword ptr [ebp + 8]
     imul eax, eax, 0x14
     mov ecx, dword ptr [ebp - 0x20]
     mov edx, dword ptr [ecx + eax + 0x20e38]
     push edx
     mov eax, dword ptr [ebp + 8]
     imul eax, eax, 0x14
     mov ecx, dword ptr [ebp - 0x20]
     mov edx, dword ptr [ecx + eax + 0x20e34]
     push edx
-    mov eax, dword ptr [0x6c6d20]
+    mov eax, dword ptr [0x6c6a78]
     mov ecx, dword ptr [eax]
-    mov edx, dword ptr [0x6c6d20]
+    mov edx, dword ptr [0x6c6a78]
     push edx
     call dword ptr [ecx + 0x64]
     test eax, eax
     je L_5
     mov eax, dword ptr [ebp + 8]
     mov ecx, dword ptr [ebp - 0x20]
     lea edx, [ecx + eax*4 + 0x20d34]
     push edx
-    mov eax, dword ptr [0x6c6e00]
+    mov eax, dword ptr [0x6c6b58]
     push eax
     mov ecx, dword ptr [ebp + 8]
     imul ecx, ecx, 0x14
     mov edx, dword ptr [ebp - 0x20]
     mov eax, dword ptr [edx + ecx + 0x20e38]
     push eax
     mov ecx, dword ptr [ebp + 8]
     imul ecx, ecx, 0x14
     mov edx, dword ptr [ebp - 0x20]
     mov eax, dword ptr [edx + ecx + 0x20e34]
     push eax
-    mov ecx, dword ptr [0x6c6d20]
+    mov ecx, dword ptr [0x6c6a78]
     mov edx, dword ptr [ecx]
-    mov eax, dword ptr [0x6c6d20]
+    mov eax, dword ptr [0x6c6a78]
     push eax
     call dword ptr [edx + 0x6c]
     test eax, eax
     je L_5
     mov ecx, dword ptr [ebp - 0x1c]
     mov edx, dword ptr [ecx]
     mov eax, dword ptr [ebp - 0x1c]
     push eax
     call dword ptr [edx + 8]
     jmp L_2
 L_5:
     push 0
     push 1
     push 0
     push 0
     mov ecx, dword ptr [ebp + 8]
     mov edx, dword ptr [ebp - 0x20]
     mov eax, dword ptr [edx + ecx*4 + 0x20db4]
     push eax
     push 0
     push 0
     mov ecx, dword ptr [ebp + 8]
     mov edx, dword ptr [ebp - 0x20]
     mov eax, dword ptr [edx + ecx*4 + 0x20d34]
     push eax
-    call D3DXLoadSurfaceFromSurface
+    call 0x43e136
     test eax, eax
     je L_4
     mov ecx, dword ptr [ebp - 0x1c]
     mov edx, dword ptr [ecx]
     mov eax, dword ptr [ebp - 0x1c]
     push eax
     call dword ptr [edx + 8]
     jmp L_2
 L_4:
     mov ecx, dword ptr [ebp + 0x14]
     mov dword ptr [ebp - 0x18], ecx
     mov edx, dword ptr [ebp + 0x18]
     mov dword ptr [ebp - 0x14], edx
     mov eax, dword ptr [ebp + 0x14]
     add eax, dword ptr [ebp + 0x1c]
     mov dword ptr [ebp - 0x10], eax
     mov ecx, dword ptr [ebp + 0x18]
     add ecx, dword ptr [ebp + 0x20]
     mov dword ptr [ebp - 0xc], ecx
     mov edx, dword ptr [ebp + 0xc]
     mov dword ptr [ebp - 8], edx
     mov eax, dword ptr [ebp + 0x10]
     mov dword ptr [ebp - 4], eax
     lea ecx, [ebp - 8]
     push ecx
     mov edx, dword ptr [ebp - 0x1c]
     push edx
     push 1
     lea eax, [ebp - 0x18]
     push eax
     mov ecx, dword ptr [ebp + 8]
     mov edx, dword ptr [ebp - 0x20]
     mov eax, dword ptr [edx + ecx*4 + 0x20d34]
     push eax
-    mov ecx, dword ptr [0x6c6d20]
+    mov ecx, dword ptr [0x6c6a78]
     mov edx, dword ptr [ecx]
-    mov eax, dword ptr [0x6c6d20]
+    mov eax, dword ptr [0x6c6a78]
     push eax
     call dword ptr [edx + 0x70]
     mov ecx, dword ptr [ebp - 0x1c]
     mov edx, dword ptr [ecx]
     mov eax, dword ptr [ebp - 0x1c]
     push eax
     call dword ptr [edx + 8]
 L_2:
     mov esp, ebp
     pop ebp
     ret 0x1c
 
 
```

</details>


<details id="th06____anmmanager____createemptytexture"><summary><h2>th06::AnmManager::CreateEmptyTexture</h2></summary>

```diff
--- Original
+++ Reimplementation
@@ -1,27 +1,27 @@
     push ebp
     mov ebp, esp
     push ecx
     mov dword ptr [ebp - 4], ecx
     mov eax, dword ptr [ebp + 8]
     mov ecx, dword ptr [ebp - 4]
     lea edx, [ecx + eax*4 + 0x1c110]
     push edx
     push 1
     mov eax, dword ptr [ebp + 0x14]
-    mov ecx, dword ptr [eax*4 + 0x46c220]
+    mov ecx, dword ptr [eax*4 + 0x46c224]
     push ecx
     push 0
     push 1
     mov edx, dword ptr [ebp + 0x10]
     push edx
     mov eax, dword ptr [ebp + 0xc]
     push eax
-    mov ecx, dword ptr [0x6c6d20]
+    mov ecx, dword ptr [0x6c6a78]
     push ecx
-    call D3DXCreateTexture
+    call 0x43e01a
     xor eax, eax
     mov esp, ebp
     pop ebp
     ret 0x10
 
 
```

</details>


<details id="th06____anmmanager____executescript"><summary><h2>th06::AnmManager::ExecuteScript</h2></summary>

```diff
--- Original
+++ Reimplementation
@@ -14,41 +14,41 @@
     je L_3
     jmp L_4
 L_3:
     mov eax, dword ptr [ebp + 8]
     mov ecx, dword ptr [eax + 0xbc]
